satellite,sensor,eodata_folder,level,eum_product_name,start_date,end_date,processor,status,timeliness,baseline_collection,source,example_file
S3,OLCI,OL_0_EFR,0,None,17/02/2023,17/02/2023,PS1,Original,NRT,2,ESA,S3A_OL_0_EFR____20230217T175535_20230217T175733_20230217T194058_0118_095_312______PS1_O_NR_002
S3,OLCI,OL_1_EFR,1,None,25/04/2016,31/12/2017,LR2,Reprocessed,NTC,2,ESA,S3A_OL_1_EFR____20160425T113314_20160425T113421_20180201T184243_0067_003_237_1260_LR2_R_NT_002
S3,OLCI,OL_1_EFR,1,None,01/01/2017,05/09/2022,LN1,Original,NTC,2,ESA,S3A_OL_1_EFR____20170101T000057_20170101T000357_20170102T052636_0180_012_344_2700_LN1_O_NT_002
S3,OLCI,OL_1_EFR,1,None,06/09/2022,18/02/2023,PS1,Original,NTC,3,ESA,S3A_OL_1_EFR____20220907T000201_20220907T000501_20220908T003553_0179_089_287_2520_PS1_O_NT_003
S3,OLCI,OL_1_EFR,1,None,31/01/2022,06/09/2022,LN1,Original,NRT,2,ESA,S3A_OL_1_EFR____20220201T004512_20220201T004529_20220201T025801_0017_081_259_1800_LN1_O_NR_002
S3,OLCI,OL_1_EFR,1,None,07/09/2022,20/02/2023,PS1,Original,NRT,3,ESA,S3A_OL_1_EFR____20220909T204730_20220909T205030_20220909T225320_0179_089_328_1620_PS1_O_NR_003
S3,OLCI,OL_1_EFR___,1,None,20/02/2023,today,PS1,Original,NTC,3,ESA,S3A_OL_1_EFR____20230219T083806_20230219T084022_20230220T092341_0136_095_335_1800_PS1_O_NT_003
S3,OLCI,OL_1_EFR___,1,None,20/02/2023,today,PS1,Original,NRT,3,ESA,S3A_OL_1_EFR____20230220T063049_20230220T063312_20230220T083722_0143_095_348_1800_PS1_O_NR_003
S3,OLCI,OL_2_WFR,2,None,01/11/2017,15/02/2021,MAR,Original,NTC,2,EUM,S3A_OL_2_WFR____20210215T012122_20210215T012422_20210216T090335_0179_068_259_4140_MAR_O_NT_002
S3,OLCI,OL_2_WFR,2,None,15/02/2021,18/02/2023,MAR,Original,NTC,3,EUM,S3A_OL_2_WFR____20210215T012422_20210215T012720_20210216T151955_0178_068_259_4320_MAR_O_NT_003
S3,OLCI,OL_2_WFR,2,None,31/01/2022,20/02/2023,MAR,Original,NRT,3,EUM,S3A_OL_2_WFR____20220131T230413_20220131T230430_20220201T013107_0017_081_258_1800_MAR_O_NR_003
S3,OLCI,OL_2_WFR___,2,None,11/02/2023,today,MAR,Original,NTC,3,EUM,S3A_OL_2_WFR____20230220T063312_20230220T063612_20230221T183950_0179_095_348_1980_MAR_O_NT_003
S3,OLCI,OL_2_WFR___,2,None,20/02/2023,today,MAR,Original,NRT,3,EUM,S3A_OL_2_WFR____20230220T063612_20230220T063912_20230220T084124_0179_095_348_2160_MAR_O_NR_003
S3,SLSTR,SL_0_SLT,0,None,17/02/2023,18/02/2023,PS1,Original,NRT,4,ESA,S3A_SL_0_SLT____20230217T173928_20230217T174420_20230217T194102_0291_095_312______PS1_O_NR_004
S3,SLSTR,SL_1_RBT,1,None,19/04/2016,04/04/2018,LR1,Reprocessed,NTC,3,ESA,S3A_SL_1_RBT____20160419T001933_20160419T002233_20181001T061326_0179_003_145______LR1_R_NT_003
S3,SLSTR,SL_1_RBT,1,None,03/04/2018,14/01/2020,LN2,Original,NTC,3,ESA,S3A_SL_1_RBT____20180403T071924_20180403T072224_20180404T142811_0179_029_320_1620_LN2_O_NT_003
S3,SLSTR,SL_1_RBT,1,None,01/05/2018,16/01/2020,LR1,Reprocessed,NTC,4,ESA,S3A_SL_1_RBT____20180501T000141_20180501T000319_20201218T180153_0098_030_330_1080_LR1_R_NT_004
S3,SLSTR,SL_1_RBT,1,None,14/01/2020,20/02/2023,LN2,Original,NTC,4,ESA,S3A_SL_1_RBT____20200114T073855_20200114T074155_20200115T195718_0179_053_363_1440_LN2_O_NT_004
S3,SLSTR,SL_1_RBT,1,None,31/01/2022,20/02/2023,LN2,Original,NRT,4,ESA,S3B_SL_1_RBT____20220131T230058_20220131T230358_20220201T005006_0179_062_115_4140_LN2_O_NR_004
S3,SLSTR,SL_1_RBT___,1,None,20/02/2023,today,PS1,Original,NRT,4,ESA,S3A_SL_1_RBT____20230220T061512_20230220T061812_20230220T085459_0180_095_348_0900_PS1_O_NR_004
S3,SLSTR,SL_1_RBT___,1,None,20/02/2023,today,PS1,Original,NTC,4,ESA,S3A_SL_1_RBT____20230220T061512_20230220T061812_20230221T153700_0179_095_348_0900_PS1_O_NT_004
S3,SLSTR,SL_2_AOD___,2,None,31/01/2022,03/11/2022,MAR,Original,NRT,2,EUM,S3A_SL_2_AOD____20220131T230017_20220131T230515_20220201T011434_0299_081_258______MAR_O_NR_002
S3,SLSTR,SL_2_AOD___,2,None,04/11/2022,today,MAR,Original,NRT,3,EUM,S3A_SL_2_AOD____20221103T081602_20221103T082101_20221103T105207_0299_091_335______MAR_O_NR_003
S3,SLSTR,SL_2_FRP___,2,None,17/08/2021,04/04/2022,LN2,Original,NTC,4,ESA,S3A_SL_2_FRP____20200817T190153_20200817T190453_20200819T013222_0179_061_370_0000_LN2_O_NT_004
S3,SLSTR,SL_2_FRP___,2,None,31/01/2022,today,MAR,Original,NRT,2,EUM,S3A_SL_2_FRP____20220131T230015_20220131T230515_20220201T011349_0299_081_258______MAR_O_NR_002
S3,SLSTR,SL_2_FRP___,2,None,04/04/2022,today,PS1,Original,NTC,4,ESA,S3A_SL_2_FRP____20220404T013159_20220404T013459_20220405T095917_0179_083_373_5220_PS1_O_NT_004
S3,SLSTR,SL_2_WST,2,None,31/10/2017,02/04/2018,MAR,Original,NTC,2,EUM,S3A_SL_2_WST____20171101T005027_20171101T023126_20171102T082738_6059_024_059_4545_MAR_O_NT_002
S3,SLSTR,SL_2_WST,2,None,03/04/2018,20/02/2023,MAR,Original,NTC,3,EUM,S3A_SL_2_WST____20220131T220613_20220131T234712_20220202T090807_6059_081_257______MAR_O_NT_003
S3,SLSTR,SL_2_WST,2,None,31/01/2022,20/02/2023,MAR,Original,NRT,3,EUM,S3A_SL_2_WST____20220131T230130_20220131T230430_20220201T011323_0180_081_258_1800_MAR_O_NR_003
S3,SLSTR,SL_2_WST___,2,None,20/02/2023,today,MAR,Original,NTC,3,EUM,S3A_SL_2_WST____20230220T053454_20230220T071554_20230221T161136_6059_095_347______MAR_O_NT_003
S3,SLSTR,SL_2_WST___,2,None,20/02/2023,today,MAR,Original,NRT,3,EUM,S3A_SL_2_WST____20230220T061512_20230220T061812_20230220T085149_0180_095_348_0900_MAR_O_NR_003
S3,SRAL,SR_0_SRA,0,None,17/02/2023,18/02/2023,PS1,Original,NRT,4,ESA,S3A_SR_0_SRA____20230217T173428_20230217T174420_20230217T194103_0592_095_312______PS1_O_NR_004
S3,SRAL,SR_1_SRA,1,None,01/03/2016,31/01/2018,LR1,Reprocessed,NTC,3,ESA,S3A_SR_1_SRA____20160301T092017_20160301T093000_20180202T230137_0583_001_221______LR1_R_NT_003
S3,SRAL,SR_1_SRA,1,None,15/05/2016,15/04/2017,MR1,Reprocessed,NTC,2,EUM,S3A_SR_1_SRA____20160615T001643_20160615T010712_20170624T111206_3029_005_187______MR1_R_NT_002
S3,SRAL,SR_1_SRA,1,None,16/04/2017,14/06/2020,LN3,Original,NTC,3,ESA,S3A_SR_1_SRA____20170416T000918_20170416T005947_20170511T202302_3029_016_301______LN3_O_NT_002
S3,SRAL,SR_1_SRA,1,None,31/07/2018,08/07/2020,LN3,Original,STC,3,ESA,S3A_SR_1_SRA____20180731T004840_20180731T013910_20180801T161617_3029_034_088______LN3_O_ST_003
S3,SRAL,SR_1_SRA,1,None,15/06/2020,20/02/2023,LN3,Original,NTC,4,ESA,S3A_SR_1_SRA____20200614T001508_20200614T010537_20200709T195752_3029_059_216______LN3_O_NT_004
S3,SRAL,SR_1_SRA,1,None,09/07/2020,20/02/2023,LN3,Original,STC,4,ESA,S3A_SR_1_SRA____20200709T001700_20200709T010730_20200710T155429_3029_060_187______LN3_O_ST_004
S3,SRAL,SR_1_SRA,1,None,31/01/2022,20/02/2023,LN3,Original,NRT,4,ESA,S3A_SR_1_SRA____20220201T000015_20220201T001015_20220201T010036_0599_081_258______LN3_O_NR_004
S3,SRAL,SR_1_SRA___,1,None,18/02/2023,20/09/2023,PS1,Original,NTC,4,ESA,S3A_SR_1_SRA____20230218T190441_20230218T195510_20230317T233308_3028_095_327______PS1_O_NT_004
S3,SRAL,SR_1_SRA___,1,None,18/02/2023,20/09/2023,PS1,Original,STC,4,ESA,S3A_SR_1_SRA____20230218T190441_20230218T195510_20230220T085236_3028_095_327______PS1_O_ST_004
S3,SRAL,SR_1_SRA___,1,None,20/02/2023,20/09/2023,PS1,Original,NRT,4,ESA,S3A_SR_1_SRA____20230220T062440_20230220T063440_20230220T083730_0599_095_348______PS1_O_NR_004
S3,SRAL,SR_1_SRA_A,1,None,01/03/2016,01/02/2018,LR1,Reprocessed,NTC,3,ESA,S3A_SR_1_SRA_A__20160301T092105_20160301T092552_20180202T230137_0287_001_221______LR1_R_NT_003
S3,SRAL,SR_1_SRA_A,1,None,16/04/2017,31/01/2018,LN3,Original,NTC,2,ESA,S3A_SR_1_SRA_A__20170416T000918_20170416T005947_20170511T202302_3029_016_301______LN3_O_NT_002
S3,SRAL,SR_1_SRA_A,1,None,01/02/2018,13/06/2020,LN3,Original,NTC,3,ESA,S3A_SR_1_SRA_A__20180201T001455_20180201T010525_20180226T224911_3029_027_216______LN3_O_NT_003
S3,SRAL,SR_1_SRA_A,1,None,30/07/2018,07/07/2020,LN3,Original,STC,3,ESA,S3A_SR_1_SRA_A__20180730T230741_20180730T235811_20180801T162005_3029_034_087______LN3_O_ST_003
S3,SRAL,SR_1_SRA_A,1,None,14/06/2020,18/01/2023,LN3,Original,NTC,4,ESA,S3A_SR_1_SRA_A__20200614T001508_20200614T010537_20200709T195752_3029_059_216______LN3_O_NT_004
S3,SRAL,SR_1_SRA_A,1,None,08/07/2020,18/02/2023,LN3,Original,STC,4,ESA,S3A_SR_1_SRA_A__20200708T004311_20200708T013341_20200709T143803_3029_060_173______LN3_O_ST_004
S3,SRAL,SR_1_SRA_A_,1,None,24/01/2023,25/08/2023,PS1,Original,NTC,4,ESA,S3A_SR_1_SRA_A__20230124T062526_20230124T071556_20230220T092834_3029_094_348______PS1_O_NT_004
S3,SRAL,SR_1_SRA_A_,1,None,03/08/2023,18/09/2023,PS1,Original,STC,4,ESA,S3A_SR_1_SRA_A__20230803T003002_20230803T012031_20230804T141543_3029_101_373______PS1_O_ST_004
S3,SRAL,SR_1_SRA_A_,1,None,25/08/2023,today,PS1,Original,NTC,5,ESA,S3A_SR_1_SRA_A__20230825T083422_20230825T092451_20230920T111915_3029_102_306______PS1_O_NT_005
S3,SRAL,SR_1_SRA_A_,1,None,19/09/2023,today,PS1,Original,STC,5,ESA,S3A_SR_1_SRA_A__20230919T001121_20230919T010151_20230920T130153_3029_103_273______PS1_O_ST_005
S3,SRAL,SR_1_SRA_A_,1,None,20/09/2023,today,PS1,Original,NRT,5,ESA,S3A_SR_1_SRA_A__20230921T000241_20230921T001241_20230921T012457_0599_103_301______PS1_O_NR_005
S3,SRAL,SR_2_SRA_BS,1,None,01/03/2016,31/01/2018,LR1,Reprocessed,NTC,3,ESA,S3A_SR_1_SRA_BS_20160301T092105_20160301T092552_20180202T230137_0287_001_221______LR1_R_NT_003
S3,SRAL,SR_2_SRA_BS,1,None,16/04/2017,31/01/2018,LN3,Original,NTC,2,ESA,S3A_SR_1_SRA_BS_20170416T000918_20170416T005947_20170511T202302_3029_016_301______LN3_O_NT_002
S3,SRAL,SR_2_SRA_BS,1,None,01/02/2018,14/06/2020,LN3,Original,NTC,3,ESA,S3A_SR_1_SRA_BS_20180201T001455_20180201T010525_20180226T224911_3029_027_216______LN3_O_NT_003
S3,SRAL,SR_2_SRA_BS,1,None,31/07/2018,08/07/2020,LN3,Original,STC,3,ESA,S3A_SR_1_SRA_BS_20180731T004840_20180731T013910_20180801T161617_3029_034_088______LN3_O_ST_003
S3,SRAL,SR_2_SRA_BS,1,None,14/06/2020,18/08/2023,LN3,Original,NTC,4,ESA,S3A_SR_1_SRA_BS_20200708T004311_20200708T013341_20200802T213301_3029_060_173______LN3_O_NT_004
S3,SRAL,SR_2_SRA_BS,1,None,08/07/2020,18/09/2023,LN3,Original,STC,4,ESA,S3A_SR_1_SRA_BS_20200708T004311_20200708T013341_20200709T143803_3029_060_173______LN3_O_ST_004
S3,SRAL,SR_2_WAT,1,None,02/01/2017,16/11/2017,MAR,Original,NTC,2,EUM,S3A_SR_2_WAT____20170102T083415_20170102T092056_20170128T021926_2801_012_363______MAR_O_NT_002
S3,SRAL,SR_2_WAT,1,None,26/01/2017,31/10/2017,MAR,Original,STC,2,EUM,S3A_SR_2_WAT____20170126T095215_20170126T103929_20170128T031710_2834_013_321______MAR_O_ST_002
S3,SRAL,SR_2_WAT,1,None,28/01/2017,31/10/2017,MAR,Original,NRT,2,EUM,S3A_SR_2_WAT____20170128T003617_20170128T004505_20170128T020408_0528_013_344______MAR_O_NR_002
S3,SRAL,SR_2_WAT,1,None,16/11/2017,01/01/2020,MAR,Original,NTC,3,EUM,S3A_SR_2_WAT____20171116T170110_20171116T174924_20171213T211525_2893_024_283______MAR_O_NT_003
S3,SRAL,SR_2_WAT,1,None,16/07/2018,20/01/2020,MAR,Original,NRT,3,EUM,S3A_SR_2_WAT____20180717T000448_20180717T000527_20180717T021700_0038_033_273______MAR_O_NR_003
S3,SRAL,SR_2_WAT,1,None,16/07/2018,20/01/2020,MAR,Original,STC,3,EUM,S3A_SR_2_WAT____20180717T001118_20180717T005531_20180718T162745_2653_033_273______MAR_O_ST_003
S3,SRAL,SR_2_WAT,1,None,01/01/2020,13/06/2022,MAR,Original,NTC,4,EUM,S3A_SR_2_WAT____20200101T022703_20200101T031432_20200126T185951_2849_053_174______MAR_O_NT_004
S3,SRAL,SR_2_WAT,1,None,20/01/2020,06/07/2022,MAR,Original,STC,4,EUM,S3A_SR_2_WAT____20200120T000005_20200120T004431_20200121T182738_2666_054_059______MAR_O_ST_004
S3,SRAL,SR_2_WAT,1,None,22/01/2020,07/07/2022,MAR,Original,NRT,4,EUM,S3A_SR_2_WAT____20200122T000311_20200122T001119_20200122T013357_0488_054_087______MAR_O_NR_004
S3,SRAL,SR_2_WAT,1,None,13/06/2022,20/01/2023,MAR,Original,NTC,5,EUM,S3A_SR_2_WAT____20220613T001514_20220613T005934_20220708T183416_2660_086_216______MAR_O_NT_005
S3,SRAL,SR_2_WAT,1,None,06/07/2022,20/02/2023,MAR,Original,STC,5,EUM,S3A_SR_2_WAT____20220706T001858_20220706T010315_20220707T163249_2657_087_159______MAR_O_ST_005
S3,SRAL,SR_2_WAT,1,None,08/07/2022,20/02/2023,MAR,Original,NRT,5,EUM,S3A_SR_2_WAT____20220708T002153_20220708T003021_20220708T015719_0508_087_187______MAR_O_NR_005
S3,SRAL,SR_2_WAT___,1,None,20/01/2022,today,MAR,Original,NTC,5,EUM,S3A_SR_2_WAT____20220708T002153_20220708T010734_20220802T184140_2741_087_187______MAR_O_NT_005
S3,SRAL,SR_2_WAT___,1,None,18/02/2023,today,MAR,Original,STC,5,EUM,S3A_SR_2_WAT____20230218T163933_20230218T172341_20230220T084642_2648_095_325______MAR_O_ST_005 
S3,SRAL,SR_2_WAT___,1,None,20/02/2023,today,MAR,Original,NRT,5,EUM,S3A_SR_2_WAT____20230220T062441_20230220T063145_20230220T085248_0424_095_348______MAR_O_NR_005
